city,hotelName,overallRating,individualReview,individualRating,polarityScore,normalizedPolarityScore,meanPolarityScore
Bangkok,Evergreen Place Siam by UHG,8.4,The staff were a bit cold..,5,0,5,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Location & room. Convenient to go.,8,0,5,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Many of choices for breakfast.,8,0,5,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Good breakfast!!.,8,0.5399,7.6995,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Amazing hotel, perfect position close to bts plus easy park for car. The room was amazing as the swimming pool and the view, the bed is super comfortable. Highly recommended.",10,0.9735,9.8675,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Great location. Hotel is located right next to Ratchathewi BTS. From here all major shopping district is just in a walking distance. Staffs were very helpful. Mr. A is particular was very understanding and welcoming. He upgraded our room for free. Although, hotel seems to be bit old but the rooms and lobby were very clean and well maintained. There is a wonderful Japanese restaurant, 7-11, massage and a cafe right in front of the hotel. I loved this place and staffs and I will definitely return in the near future. Cheers team Evergreen!. There were water droplets falling from the aircon in the lobby and in my room as well but it wasn’t really an issue..",10,0.9888,9.944,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,staff helpful... excellent breakfast... good street food for authentic thai... v nice pool and gym. clean ... we stay many hotel - this a favourite. ... prices are liw because of covid - the prices will probably go up : ( .... then we can not afford to come !.,10,0.908,9.54,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"location, staff, room, bed are all perfect to stay in Bangkok and all places nearby are easy to access. A bit traffic jam during rush hour if travel by car there.",9,0.765,8.825,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Good location. Small room with a lot of ants in the bathroom area, sofa and walls..",6,0.4404,7.202,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Reasonable accommodation charge with clean and comfort services..,10,0.6369,8.1845,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"The location is perfect! I easily walked to the BTS. However, for the restaurant I didn't have much time for breakfast; I had the food there once while I was hurrying to work. Overall, it seemed okay not too bad but not too good. Surprisingly, the spaghetti from room service was so tasty!.",8,-0.1531,4.2345,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"The Breakfast offered hot and cold food options- was NOT continental. The location is prime. THE STAFF IS AMAZING! As I was preparing to travel back to China there were many tasks I had to fulfill in a timely manner; staff members like A and Jade recommended nearby facilities; printed and scanned all of my needed documents and did so with a smile every time. There was other helpful staff as well, I just didn't get their names at the time of check out. Both times ( yes I went back) my room was spacious!. The room was slightly outdated; but nothing to complain about..",8,0.9232,9.616,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"perfect location, near by mall and shopping centre. the room are sound proof and clean every days and staff are nice.. none..",10,0.7506,8.753,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"The room was really spacious and had a good lighting. It was very clean and to a great standard too.
The swimming pool area was great and there was also a steam room which we enjoyed.
The gym was really good too.
The staff was always ready to help and quick to respond.
The staff spoke very good English which made things easy.
Very well located near siam centre and Ratchatwewi BTS. Everything was good..",8,0.9878,9.939,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Super duper clean!! Love the breakfast and accessibility to malls, convenience stores, and restaurants. Just a few walks away from BTS Station.. Nothing..",10,0.9078,9.539,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Convenient for transportation.,10,0,5,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,The ceiling/wall of bed and bathroom a little old. Balcony -afraid of safety/someone climb in/look at..,8,0,5,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"very comfy, clean and great location. also i was upgraded the room without charges, so i got a better bigger room with a very nice view. can simply walk to mbk mall and so on...i had a good experience staying there, i d like to return again next time.. it was a bit difficult to find the entrance of the hotel at the first time as it was behind other buildings which you could not see from the main street..",9,0.954,9.77,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,The best is the location and breakfast. Very old room.,5,0.6369,8.1845,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Very clean, nice staff and great location. Good value for money.",10,0.9379,9.6895,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,very good location near BTS.,8,0.4927,7.4635,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Very good!.,9,0.54,7.7,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,In the middle of downtown. No.,9,-0.296,3.52,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Location is just walking distance from MBK, Siam center and siam paragon. Breakfast is nice. So many food choices. The pool is huge and family friendly. It has a small playground and the view is nice.. It is difficult to locate, I got confused the hotel with the apartment. To reach it, you have to go inside a small street which is a bit dark. The room is not sound proof, We can hear people talking on the other room..",8,0.5574,7.787,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Near BTS.,8,0,5,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Location n bed.,6.2,0,5,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Good service, friendly staffs and room with sound proof. Nothing..",10,0.7269,8.6345,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Good location, you can walk 10 mins to Siam Paragon. BTS station 2 mins walk. Everything was clean and nice. Bathroom was almost same size with room.
Staff was very helpful.. The room was small. No drawer, only open hangers and there isn't any table where you can work. Internet worked so bad, disconnected all the time and wasn't stable..",7,-0.0462,4.769,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Good facilities and location. BF is also great!.,10,0.807,9.035,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Good location, room is quite clean. Staff is also helpful for whatever you need..",7,0.8268,9.134,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Breakfast, location, bathroom, stuff. Everything was perfect.",10,0.5719,7.8595,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"The location is excellent , bed is soft with bidet .Clean & Comfy.. The guest relation staff at the door didn't help me to my belongings..",10,0.63,8.15,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Good location with the BTS at the door step
Good restaurants around walking distance
Lumphini park
MBK and Siam center
Good breakfast buffet we were really happy about the buffet and the choices they offer
Pool + Gym + Sauna and steam room. Hairs in the shower when we arrived and electric stoves and fridge not cleaned but the rest was ok
No bathtub in the one bedroom accommodation, I booked it because it has a bathtub in the description and we had a 9 months baby boy with us so I was disappointed and so it was not easy to have shower with him
Decoration in the room and facilities should be updated (old building and old decoration).",7,-0.3248,3.376,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,The room was very comfortable and spacious. Bedroom and bathroom spacious too. The location is 2 minute walk to the train station. Breakfast was a big spread with plenty to offer..,9,0.5563,7.7815,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Breakfast is fine, various selection like intercontinental. Front office has good understanding and welcome the guest.. Commitment of services, Having request for 1pm. but decline then we went after 4pm but the room still not ready..",8,0.4998,7.499,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Facilities were fine - nice gym and pool is clean! Good breakfast and very accommodating staff!. Stayed on the 18th floor in a 2 bedroom apartment. It was a little tired and the AC in the bedroom was leaking and would cut out completely at least once a day. Wifi was horrible - had full days with nothing and it was constantly cutting in and cutting out. Staff were responsive but not to the point that they actually fixed anything over the 9 days we were there..,6,0.3249,6.6245,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"The location,if u are in the city for shopping, everything's close by.. Very cold,unhelpfull staff..",6,0,5,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Good room size and facilities.
The location is center of Bangkok and the price was appropriated.. Not thing.",10,0.4404,7.202,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"clean room , good location.",9,0.6808,8.404,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"The best great location, only a foot steps from BTS station. Super friendly staffs. Especailly, Khun Eve and khun James!!! Highly recommened !!!!!.",10,0.9557,9.7785,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Staffs are friendly and the view from the room..,10,0.4939,7.4695,8.21478
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,"All facilities are good and well maintained.
Nice view from the room and rooftop bar.
Close location to the major departments, temples etc.
Many movies are free to watch. Even in a rainy day, kids could enjoy.. Foods or drinks are a bit expensive even though the room charge is very reasonable..",9,0.8689,9.3445,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,Hospitality. Very friendly for small kids..,10,0.5413,7.7065,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,"The staff were very friendly, very clean, a fantastic view. Will come back every year..",10,0.8917,9.4585,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,"Stayed here for 2 nights in a suite on the 58th floor with a river view, starting 19/3/2021. The view was incredible, the facilities and cleanliness of the hotel were first class, and the staff were extremely polite and courteous. I mentioned in passing to the maitre'd that we were staying for my partner's birthday, and he had a small birthday cake and card sent up to the room shortly after we checked in, which was unexpected and was a nice touch. I had paid for a selection of flowers to be in the room on arrival for my partner and they were arranged beautifully. Excellent all round at this hotel.. This hotel is basically perfect, but if I had to choose one thing to improve, it would be the portion sizes at breakfast. I had to order 4-5 portions of the cooked breakfast 'grilled tomatoes, hash browns and mushrooms' to get an amount that I would usually eat. The fruit platter had only one piece of each fruit. However, there is no limit on how much you can order, so this really is being picky..",10,0.8829,9.4145,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,"Room was clean and large and we were on the 58th floor which was brilliant for the view of the river and bangkok backdrop
They knew it was my birthday and had some of the staff come up to my room with a cupcake to sing happy birthday to me which made my night 
Thank you. The skybar was very expensive but worth the experience....",10,0.844,9.22,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,"Location, many attentive staff, friendly atmosphere.. Cooked Breakfast was served cold.
Ridiculous price for a small non-alcoholic cocktail which actually wasn’t very nice. 
Wasn’t apparent why it’s advertised as the “worlds first vertical destination” didn’t really get this?.",7,0.5849,7.9245,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,"I can’t speak highly enough of this hotel and its staff.
It was my third stay here but this time I discovered the gym and its amazing staff. I had a once-in-a-lifetime training session with Khun New after initially asking her to correct my form. She and Khun Ded were so knowledgeable and enthusiastic about helping me learn about correct posture and strength training. The breakfasts used to be my favourite thing about lebua, but it now has to be the fitness staff!
Beautifully warm and polite staff all round; from the managers, to the lift attendants, to the maids. Breakfast, of course, was the best in Bangkok, even during covid times, and my room was spotless and fresh. I had a noisey neighbor who I had to call reception about at 1am, and they dealt with the problem faultlessly.
 I can’t wait to go back again!.",10,0.992,9.96,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,The awesome view out from room. Too comfortable and excellent services made me embracing 😅.,10,0.9022,9.511,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,Wonderful breakfast and very accommodating staff.,10,0.5719,7.8595,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,"Location and the hotel itself is amazing. The restaurant quite expensive but it worth it cause of the view and memorable moments.
I’d call this hotel a Symbol of Bangkok! 
Would be back to stay there again 👌.",10,0.6177,8.0885,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,No wine 🤣 at the restaurant because covid 19.,9,-0.296,3.52,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,"Best hotel I have ever stayed in, and I have staye3d in a lot. WIFI was a bit rubbish.",10,0.6369,8.1845,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,"Perfect for take picture of Fireworks 
The room is wide comfortable and very clean
Staff especially assistance front manager Mr. Marco and hose keeper are very helpful the others are also nice. 
The Chef cooked me special stake’s gravy when he knew I had some food allergies. This is so much appreciated. 
All hotel staff can remember the specific needs and information of each guest very well..",9,0.9737,9.8685,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,The staff all over the hotel were very friendly and helpful.,10,0.762,8.81,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,"Not a lot. Over an hour to check in
Rooms were dated
No child bed in despite pre order
No executive lounge 
Mini bar only had soft drinks
No access to sky bar following day
No kettle.",3,-0.7783,1.1085,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,"Having reserved a room in Lebua, I have made a special query that was responded immediately and some more information was gathered for further convenience.
Everything was so smoothly and pleasant while checking in. Flexible approaches of the organization made all processes easy and time saving.
The room was provided on a highest floor.
In general, room has a great river view and all conveniences in it.
Also there is no any problem with being online within Lebua. Access points cover all the area that almost seamlessly cover all parts of the hotel. Even Ethernet outlet is available in the room.
High class assistance from hotel staff and concierges.
Dine in and dine out are as an option.
Luxurious and convenient stay for any time.
Appreciated.
Kindest regards. All necessary things were available in the room except an electric kettle for a tea making (there are tea bags available but no electric kettles). I believe it could be resolved after a reception desk request by phone..",10,0.7212,8.606,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,"Staffs are very very nice, polite, and kind...i love them, keep going.
The room is super clean, so nice....
I will be back surely.. The water in bathroom was cold even i chose warm water 😂😂.. so colddd..🥶🥶.",10,0.9439,9.7195,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,"Amazing staff team, very welcoming and helpful. The room we got was spotless and the view, stunning. 
This is our second time here and this time we came for our anniversary - We ate at the Mezzaluna and followed up with drinks at two of the bars - the teams from all three were great but especially Bar No. 3, the lady who took care of us and took the time to show us around to all the other bars, helped us with pictures, angles and lighting was exceptional!
 Overall, a very special evening for us, wouldn't think twice to come back!.",10,0.9386,9.693,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,The services provided by the staff. They are excellent and very helpful in all aspects.,10,0.7778,8.889,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,Sunset river and city view is incredible. Staffs are good service.. pool not private.And lounge located on M level is not as expectation. not bad.,9,0.6956,8.478,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,"Everything, the staff in particular were excellent in all respects.. The only downside was not being able to have the buffet breakfast, but quite understandable under the current circumstances and we were informed before we arrived. However the a la carte breakfast we were served was also very good..",9,0.7302,8.651,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,"Superb service , staff are super friendly and can’t help you enough. Amazing views over Bangkok. No issues.",10,0.9477,9.7385,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,"I will not be able to express enough how wonderful staying here is!! I am not one who generally stays in hotels like Iebua State Tower and they made me feel just as special as all the rest of their customers. They knew my name everywhere I went and were beyond helpful with everything I needed. 
My room was phenomenal with incredible views from the 58th floor. The breakfast was perfect as it was ala carte but you could order as much as you wanted. Sitting poolside and with the lovely breeze every morning, it was a perfect place to start your day. Also, communicating on LINE was very helpful with the little questions or planning for the housekeepers to come in or a planned taxi that was needed.
If you want to treat yourself to a fantastic place to stay...Iebua at State Tower is a must stay!!.",10,0.9875,9.9375,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,"The view. Old style hotel.
Dinner at scirocco too expensive. Stuff push to order more than is needed.",5,0,5,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,The room river view. There were no halal food mentioned in the menu.,7,-0.296,3.52,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,All the staff are doing a wonderful job looking after their guests during these difficult times. I can't wait to return again!.,10,0.3595,6.7975,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,Best staff.,10,0.6369,8.1845,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,Very large rooms. Choice of bars and restaurants. Very high levels of service.,9,0,5,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,"Room was excellent, bed very comfortable.. Bar prices really were ridiculously high.",9,0.2551,6.2755,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,Hotel is tired. Needs some renovation..,4,-0.4404,2.798,8.38561
Bangkok,lebua at State Tower (The World’s First Vertical Destination),8.8,"lived up to the hype. can't wait to go back. put it on your to do list for sure.
staff were amazing, not judgemental, room was over the top great.. location was a bit strange, but I didn't want to leave anyway..",10,0.4477,7.2385,8.38561
